"Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu."	"I feel angry that the political and economic system that we live in harms the climate."	"Jeg føler sinne over at vårt politisk-økonomiske system er skadelig for klimaet."	"ANG14"
"Konkretne działania na rzecz klimatu pozwalają mi optymistycznie patrzeć w przyszłość."	"Concrete actions for the climate allow me to be optimistic about the future."	"Konkrete handlinger til det beste for klimaet gjør at jeg kan se optimistisk på fremtiden."	"HOPF8"
"Mobilizacja społeczna w kwestii przeciwdziałania zmianie klimatu daje mi poczucie, że razem możemy osiągnąć ten cel."	"Social mobilisation in the fight against climate change makes me feel that together we can achieve this goal."	"Mobiliseringen ute blant folk i forbindelse med tiltak for å motvirke klimaendringer, gir meg følelsen av at vi sammen kan nå dette målet"	"EMP7"
"Czuję dezorientację, jeśli chodzi o to, co mogę tak naprawdę zrobić, by ograniczyć zmianę klimatu."	"I feel confused about what I can do to reduce climate change."	"Jeg føler meg forvirret i spørsmålet om hva jeg egentlig kan gjøre for å begrense endringene av klimaet."	"POWL11"
"Przytłacza mnie to, jak wiele aspektów życia należałoby zmienić, by ograniczyć zmianę klimatu."	"I am overwhelmed by how many aspects of life would need to be changed to limit climate change."	"Jeg overveldes ved tanken på hvor mange sider ved livet som burde endres for å begrense endringene av klimaet."	"POWL7"
"Czuję się bezradn[[y//a]] wobec faktu, że jako jednostka mam bardzo niewielki wpływ na to, co się dzieje z klimatem."	"As an individual, I feel powerless with little agency over what happens with the climate."	"Som individ føler jeg meg maktesløs med svært lite innflytelse over hva som skjer med klimaet."	"POWL2"
"Czuję bezsilność, kiedy myślę o tym, jak trudno jest żyć w sposób przyjazny dla klimatu."	"I feel helpless when I think of how difficult it is to live in a climate-friendly way."	"Jeg føler meg maktesløs når jeg tenker på hvor vanskelig det er å leve klimavennlig."	"POWL13"
"Mam wyrzuty sumienia, że nie robię wystarczająco dużo, żeby przeciwdziałać zmianie klimatu."	"I have a guilty conscience about not doing enough to mitigate climate change."	"Jeg har dårlig samvittighet for at jeg ikke gjør tilstrekkelig mye for å motvirke endringen av klimaet."	"GUI11"
"By udowodnić, że przeczytał[[eś//aś]] to pytanie ze zrozumieniem, zaznacz teraz odpowiedź „Ani tak, ani nie”."	"To convince us that you are reading this, please, just mark the option “Neither agree, nor disagree”."	"For at vi skal være sikre på at du leser dette, vær vennlig og trykk på følgende alternativ: “Hverken enig eller uenig”."	"CHECK2"
"Denerwuję się, że mój negatywny wpływ na klimat jest zbyt duży."	"It upsets me that I have a big negative impact on the climate."	"Jeg er opprørt over at min negative innvirkning på klimaet er så stor."	"GUI6"
"Mam poczucie winy, że sposób, w jaki żyję, przyczynia się do zmiany klimatu."	"I feel guilty that my lifestyle contributes to climate change."	"Jeg har skyldfølelse ved tanke på at måten jeg lever på, bidrar til klimaendringer."	"GUI8"
"Jestem zł[[y//a]] na siebie, że nie robię wystarczająco dużo, by ograniczyć mój wpływ na klimat."	"I am angry at myself for not doing enough to limit my negative impact on the climate."	"Jeg er sint på meg selv over at jeg ikke gjør tilstrekkelig mye for å begrense min påvirkning på klimaet."	"GUI12"
"Czuję, jakbym był[[//a]] jedną z niewielu osób, które naprawdę rozumieją, z czym wiąże się zmiana klimatu."	"I feel like one of the few people who actually understand what climate change entails."	"Jeg føler meg som en av de få som virkelig forstår hva endringene av klimaet innebærer."	"ISO4"
"By udowodnić, że przeczytał[[eś//aś]] to pytanie ze zrozumieniem, zaznacz teraz odpowiedź „Zdecydowanie tak”."	"To convince us that you are reading this, please, just mark the option “Strongly agree”."	"For at vi skal være sikre på at du leser dette, vær vennlig og trykk på følgende alternativ: “Sterkt enig”."	"CHECK3"
"Czuję się osamotnion[[y//a]], ponieważ większość ludzi w moim otoczeniu nie martwi się zmianą klimatu tak, jak ja."	"I feel lonely because most of the people around me don’t care about climate change as much as I do."	"Jeg føler meg alene fordi de fleste i min omgangskrets ikke bekymrer seg over klimaendringene på samme måte som jeg."	"ISO5"
"Czuję osamotnienie, ponieważ trudno mi rozmawiać z innymi o mojej trosce dotyczącej zmiany klimatu."	"I feel lonely because it’s difficult to talk about my climate change concerns with other people."	"Jeg føler meg alene fordi det er vanskelig for meg å snakke med andre om mine bekymringer over klimaendringene."	"ISO8"
"Czuję się wyobcowan[[y//a]], ponieważ społeczeństwo uważa troskę o zmianę klimatu za coś dziwacznego."	"I feel alienated because society considers concern for climate change as something strange."	"Jeg føler meg isolert fordi folk anser mine bekymringer på grunn av klimaendringene som noe rart."	"ISO12"
"Myśli o zmianie klimatu sprawiają, że boję się o przyszłość naszych dzieci."	"Thinking about climate change makes me fear for the future of our children."	"Tanken på klimaendringene gjør at jeg frykter for barns fremtid."	"APP7"
"Przytłacza mnie świadomość nadchodzącej katastrofy klimatycznej."	"I am overwhelmed by the awareness of the approaching climate disaster."	"Bevisstheten om den kommende klimakatastrofen overvelder meg."	"HOPL5"
"Ze względu na zmianę klimatu wszystko wydaje się niepewne."	"Everything seems uncertain because of climate change."	"På grunn av klimaendringene virker alt uvisst."	"HOPL11"
"Boję się, jak zmiana klimatu dotknie mnie i moich bliskich."	"I fear how climate change will affect me and my loved ones."	"Jeg er redd for hvordan klimaendringene vil ramme meg og mine nærmeste."	"APP14"
"Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu."	"The thought of so many species going extinct under the pressure of climate change fills me with sorrow."	"Tanken på at så mange arter utryddes på grunn av klimaendringer fyller meg med sorg."	"SOR13"
"Smutno mi z powodu świata, który odchodzi bezpowrotnie w wyniku zmiany klimatu."	"The thought that the world I know is disappearing forever because of climate change makes me sad."	"Tanken på at verden slik jeg kjenner den forsvinner for alltid på grunn av klimaendringer gjør meg trist."	"SOR6"
"Jest mi przykro, gdy myślę o możliwościach, które nieodwracalnie tracimy wraz z postępującą zmianą klimatu."	"I feel sorry about the possibilities we are losing forever because of climate change."	"Jeg er lei meg for mulighetene vi mister for godt på grunn av klimaendringer."	"SOR4"
"Smuci mnie, że przez zmianę klimatu cierpi tyle stworzeń."	"I am sad that so many living creatures suffer because of climate change."	"Jeg er trist over at så mange levende skapninger lider på grunn av klimaendringer."	"SOR14"
